Date/Time,EMS:ashp supply fan Cooling [J](Hourly),EMS:ashp supply fan Heating [J](Hourly),ASHP CLG COIL:Cooling Coil Total Cooling Energy [J](Hourly),ASHP CLG COIL:Cooling Coil Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Heating Energy [J](Hourly),ASHP HTG COIL:Heating Coil Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Defrost Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Crankcase Heater Electric Energy [J](Hourly),ASHP SUPP HTG COIL:Heating Coil Heating Energy [J](Hourly),ASHP SUPP HTG COIL:Heating Coil Electric Energy [J](Hourly),WATER USE CONNECTIONS 1:Water Use Connections Plant Hot Water Energy [J](Hourly),WATER HEATER:Water Heater Tank Temperature [C](Hourly),WATER HEATER:Water Heater Use Side Mass Flow Rate [kg/s](Hourly),WATER HEATER:Water Heater Use Side Outlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Mass Flow Rate [kg/s](Hourly),WATER HEATER:Water Heater Source Side Inlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Outlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Heat Transfer Rate [W](Hourly),WATER HEATER:Water Heater Source Side Heat Transfer Energy [J](Hourly),WATER HEATER:Water Heater Heating Energy [J](Hourly),WATER HEATER:Water Heater Electric Energy [J](Hourly),WATER HEATER:Water Heater Off Cycle Parasitic Electric Energy [J](Hourly),WATER HEATER:Water Heater On Cycle Parasitic Electric Energy [J](Hourly),DESUPERHEATER:Water Heater Heating Energy [J](Hourly),WH SETPOINT TEMP:Schedule Value [](Hourly) 
 10/16  21:00:00,287330.3861441882,0.0,5684634.727405699,1062696.8849960385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.91522822769008,0.0,55.91522822769008,0.0,55.91522822769008,55.91522822769008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/16  22:00:00,245590.69458593519,0.0,4891937.479019032,892694.9498034741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.778496689721297,0.0,55.778496689721297,0.0,55.778496689721297,55.778496689721297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/16  23:00:00,199926.96218485858,0.0,3994337.200996042,720225.5716140744,0.0,0.0,0.0,0.0,0.0,0.0,113090.88822829977,55.5454525033767,0.0001865713888549067,55.5454525033767,0.0,55.5454525033767,55.5454525033767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/16  24:00:00,155161.39927310009,0.0,3107460.821672153,554972.2795273983,0.0,0.0,0.0,0.0,0.0,0.0,279518.3266423823,56.000808275114348,0.0004682693497737501,56.000808275114348,0.054496706305246427,57.11730694005805,56.000808275114348,254.5260008158263,916293.6029369747,0.0,0.0,0.0,0.0,915608.275299888,52.6666666666667 
 10/17  01:00:00,121931.5056858033,0.0,2439913.357406407,436121.71849556776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.05903480924812,0.0,57.05903480924812,0.04277811785863778,58.1759844901665,57.05903480924812,199.89436569802539,719619.7165128914,0.0,0.0,0.0,0.0,719008.7689754936,52.6666666666667 
 10/17  02:00:00,91072.06638627539,0.0,1829294.0224950419,323094.7580829962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.98581024092591,0.0,57.98581024092591,0.031908815022332347,59.10646340968132,57.98581024092591,149.6147717541787,538613.1783150433,0.0,0.0,0.0,0.0,538097.1951445096,52.6666666666667 
 10/17  03:00:00,63382.5384129477,0.0,1278127.763330382,223131.44617917759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.62067972356405,0.0,58.62067972356405,0.022180767398321645,59.745130151228519,58.62067972356405,104.36219722502523,375703.9100100908,0.0,0.0,0.0,0.0,375314.80237738988,52.6666666666667 
 10/17  04:00:00,41309.88747345383,0.0,832859.8442061798,145437.92029147867,0.0,0.0,0.0,0.0,0.0,0.0,158942.84410828848,58.84913224543849,0.0002626259279483022,58.84913224543849,0.014443361450052629,59.974417897974948,58.84913224543849,68.01097312426627,244839.50324735858,0.0,0.0,0.0,0.0,244574.44112441463,52.6666666666667 
 10/17  05:00:00,22432.17258754934,0.0,452369.5528815144,78986.94676512978,0.0,0.0,0.0,0.0,0.0,0.0,1004360.4913050027,57.95409014823627,0.001622654229335685,57.95409014823627,0.007838215302601039,59.080325127916427,57.95409014823627,36.939726849454938,132983.01665803776,0.0,0.0,0.0,0.0,132839.12491166107,52.6666666666667 
 10/17  06:00:00,17449.09756069423,0.0,350482.49241767046,61925.5175642116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.15869604748842,0.0,57.15869604748842,0.006098930702357408,58.282096563171119,57.15869604748842,28.66585795176989,103197.08862637161,0.0,0.0,0.0,0.0,103102.0024954705,52.6666666666667 
 10/17  07:00:00,13837.810237222535,0.0,278165.4140293848,49116.58296749466,0.0,0.0,0.0,0.0,0.0,0.0,592716.9957096255,56.64569892674908,0.0009737746458485688,56.64569892674908,0.0048381053469903809,57.76954618931659,56.64569892674908,22.748928567495683,81896.14284298445,0.0,0.0,0.0,0.0,81820.49924921988,52.6666666666667 
 10/17  08:00:00,23306.00301562647,0.0,465133.78441685289,84007.31135773899,0.0,0.0,0.0,0.0,0.0,0.0,370195.6896349519,55.85765045305053,0.0006207004444059663,55.85765045305053,0.008152551475997309,56.97670306535797,55.85765045305053,38.166231518880127,137398.43346796846,0.0,0.0,0.0,0.0,137285.27394364796,52.6666666666667 
 10/17  09:00:00,39981.88420436492,0.0,792668.2232236128,146549.33876878909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.746474465114378,0.0,55.746474465114378,0.01399737962255801,56.861232686864408,55.746474465114378,65.27397537128988,234986.31133664357,0.0,0.0,0.0,0.0,234804.39049810047,52.6666666666667 
 10/17  10:00:00,118176.30226805296,0.0,2288465.7130940149,459135.5695728613,0.0,0.0,0.0,0.0,0.0,0.0,1301676.4640586836,55.15239526340313,0.00223965788262335,55.15239526340313,0.0414615160382538,56.25334604164349,55.15239526340313,190.95781274550115,687448.1258838042,0.0,0.0,0.0,0.0,686900.320666719,52.6666666666667 
 10/17  11:00:00,215354.26086310033,0.0,4109703.6144376455,872586.4923303268,0.0,0.0,0.0,0.0,0.0,0.0,6644722.204786036,51.87514862859526,0.012513961844847547,51.87514862859526,0.07577431390697034,52.967515048906417,51.87514862859526,346.22951697516057,1246426.261110578,3733092.104602623,4666365.130753278,0.0,0.0,1245572.526691993,52.6666666666667 
 10/17  12:00:00,316349.7016659221,0.0,5997132.1173535599,1310191.3288337889,0.0,0.0,0.0,0.0,0.0,0.0,110738.22247610602,54.52186206921838,0.00020593104411147518,54.52186206921838,0.11178135520693282,55.607905748168779,54.52186206921838,507.64903983928897,1827536.5434214404,464017.769300144,580022.21162518,0.0,0.0,1826830.861546837,52.6666666666667 
