Date/Time,EMS:ashp supply fan Cooling [J](Hourly),EMS:ashp supply fan Heating [J](Hourly),ASHP CLG COIL:Cooling Coil Total Cooling Energy [J](Hourly),ASHP CLG COIL:Cooling Coil Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Heating Energy [J](Hourly),ASHP HTG COIL:Heating Coil Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Defrost Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Crankcase Heater Electric Energy [J](Hourly),ASHP SUPP HTG COIL:Heating Coil Heating Energy [J](Hourly),ASHP SUPP HTG COIL:Heating Coil Electric Energy [J](Hourly),WATER USE CONNECTIONS 1:Water Use Connections Plant Hot Water Energy [J](Hourly),WATER HEATER:Water Heater Tank Temperature [C](Hourly),WATER HEATER:Water Heater Use Side Mass Flow Rate [kg/s](Hourly),WATER HEATER:Water Heater Use Side Outlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Mass Flow Rate [kg/s](Hourly),WATER HEATER:Water Heater Source Side Inlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Outlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Heat Transfer Rate [W](Hourly),WATER HEATER:Water Heater Source Side Heat Transfer Energy [J](Hourly),WATER HEATER:Water Heater Heating Energy [J](Hourly),WATER HEATER:Water Heater Electric Energy [J](Hourly),WATER HEATER:Water Heater Off Cycle Parasitic Electric Energy [J](Hourly),WATER HEATER:Water Heater On Cycle Parasitic Electric Energy [J](Hourly),DESUPERHEATER:Water Heater Heating Energy [J](Hourly),WH SETPOINT TEMP:Schedule Value [](Hourly) 
 01/02  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.53298549047314,0.0,51.53298549047314,0.0,51.8128672438478,51.53298549047314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542198.4697004696,51.404491388344137,0.000866272191052798,51.404491388344137,0.0,51.53298549047314,51.404491388344137,0.0,0.0,1161590.125978974,1451987.6574737174,0.0,0.0,0.0,52.6666666666667 
 01/02  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.36696666476319,0.0,52.36696666476319,0.0,51.404491388344137,52.36696666476319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120972.33909899919,52.11971475654879,0.0001932162242394407,52.11971475654879,0.0,52.36696666476319,52.11971475654879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0,0.0,51.87322279545266,0.0,51.87322279545266,0.0,52.11971475654879,51.87322279545266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0,0.0,51.735433012741349,0.0,51.735433012741349,0.0,51.87322279545266,51.735433012741349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0,0.0,51.59746364479957,0.0,51.59746364479957,0.0,51.735433012741349,51.59746364479957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0,5078949.06419492,51.592656360915167,0.008110035948975227,51.592656360915167,0.0,51.59746364479957,51.592656360915167,0.0,0.0,4979225.213553059,6224031.516941323,0.0,0.0,0.0,52.6666666666667 
 01/02  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0,34544.947402726735,52.54124015951418,0.00005508910792022481,52.54124015951418,0.0,51.592656360915167,52.54124015951418,0.0,0.0,824174.3910958819,1030217.9888698524,0.0,0.0,0.0,52.6666666666667 
 01/03  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0,0.0,52.39615460996656,0.0,52.39615460996656,0.0,52.54124015951418,52.39615460996656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
